joint_0,joint_1,joint_2,joint_3,joint_4,joint_5
-0.3761453628540039,-0.5893162053874512,-0.2157204786883753,-2.072127958337301,4.054100036621094,-0.7062361876117151
-0.3761320114135742,-0.5893400472453614,-0.21568519273866826,-2.0721403561034144,4.054123878479004,-0.7061885038958948
-0.37612056732177734,-0.5893281263164063,-0.21564895311464483,-2.072116037408346,4.0540642738342285,-0.706212345753805
-0.3761568069458008,-0.5893519681743165,-0.21567279497255498,-2.072092195550436,4.054088592529297,-0.7062242666827601
-0.37612056732177734,-0.5893162053874512,-0.21569663683046514,-2.072116037408346,4.054076194763184,-0.7061999479876917
-0.37610912322998047,-0.5893519681743165,-0.21567279497255498,-2.072104116479391,4.054100036621094,-0.7061885038958948
-0.3761320114135742,-0.5893042844584961,-0.21568519273866826,-2.072127958337301,4.054100036621094,-0.7062242666827601
-0.3760967254638672,-0.5893643659404297,-0.21564895311464483,-2.072104116479391,4.054112434387207,-0.7062481085406702
-0.37612056732177734,-0.5893162053874512,-0.21564895311464483,-2.072080274621481,4.054112434387207,-0.7062242666827601
-0.3761568069458008,-0.5893400472453614,-0.21568519273866826,-2.072116037408346,4.054100036621094,-0.7062600294696253
-0.37612056732177734,-0.5893042844584961,-0.21564895311464483,-2.072127958337301,4.0540642738342285,-0.706212345753805
-0.3761320114135742,-0.5893281263164063,-0.21567279497255498,-2.072116037408346,4.054100036621094,-0.706212345753805
-0.37610912322998047,-0.5893162053874512,-0.2156608740435999,-2.072104116479391,4.054123878479004,-0.706212345753805
-0.3760967254638672,-0.5893042844584961,-0.2156608740435999,-2.072104116479391,4.0540642738342285,-0.706212345753805
-0.37612056732177734,-0.5893162053874512,-0.21569663683046514,-2.072104116479391,4.054123878479004,-0.7062361876117151
-0.37612056732177734,-0.5893162053874512,-0.21569663683046514,-2.072104116479391,4.054136276245117,-0.7062361876117151
-0.37612056732177734,-0.5893400472453614,-0.2157204786883753,-2.072116037408346,4.0540642738342285,-0.7061999479876917
-0.37610912322998047,-0.5893400472453614,-0.21567279497255498,-2.072092195550436,4.054100036621094,-0.706212345753805
-0.3761453628540039,-0.5893162053874512,-0.21564895311464483,-2.072092195550436,4.054052352905273,-0.7062242666827601
-0.3761453628540039,-0.5893042844584961,-0.21569663683046514,-2.072116037408346,4.054112434387207,-0.706212345753805
-0.3761320114135742,-0.5893042844584961,-0.21569663683046514,-2.072127958337301,4.054088592529297,-0.706212345753805
-0.3761568069458008,-0.5893519681743165,-0.21563703218568975,-2.072116037408346,4.054100036621094,-0.7062361876117151
-0.37612056732177734,-0.5893519681743165,-0.21567279497255498,-2.072104116479391,4.054088592529297,-0.7061761061297815
-0.3761320114135742,-0.5893400472453614,-0.2157204786883753,-2.072092195550436,4.0540642738342285,-0.706212345753805
-0.3760967254638672,-0.5893519681743165,-0.2156608740435999,-2.072116037408346,4.054123878479004,-0.7062242666827601
-0.37612056732177734,-0.5893400472453614,-0.21569663683046514,-2.072104116479391,4.054100036621094,-0.7061885038958948
-0.37610912322998047,-0.5893281263164063,-0.2157204786883753,-2.072127958337301,4.0540642738342285,-0.7061885038958948
-0.3760967254638672,-0.5893400472453614,-0.21564895311464483,-2.072116037408346,4.0540642738342285,-0.706212345753805
-0.37612056732177734,-0.5893400472453614,-0.21568519273866826,-2.072092195550436,4.054088592529297,-0.706212345753805
-0.3761320114135742,-0.5893400472453614,-0.21569663683046514,-2.072104116479391,4.054076194763184,-0.7062600294696253
-0.3761453628540039,-0.5893400472453614,-0.21563703218568975,-2.072104116479391,4.054076194763184,-0.7061999479876917
-0.3761568069458008,-0.5893042844584961,-0.21564895311464483,-2.072116037408346,4.054088592529297,-0.706212345753805
-0.37612056732177734,-0.5893400472453614,-0.21568519273866826,-2.0720683536925257,4.054052352905273,-0.7062481085406702
-0.3761453628540039,-0.5893281263164063,-0.21568519273866826,-2.072104116479391,4.054112434387207,-0.706212345753805
-0.37612056732177734,-0.5893519681743165,-0.2156608740435999,-2.072127958337301,4.054076194763184,-0.7062361876117151
-0.37610912322998047,-0.5893519681743165,-0.21563703218568975,-2.072127958337301,4.054088592529297,-0.7062481085406702
-0.3761320114135742,-0.5893400472453614,-0.21567279497255498,-2.0721518001952113,4.054076194763184,-0.7062242666827601
-0.3761320114135742,-0.5893042844584961,-0.21570855775942022,-2.072080274621481,4.054123878479004,-0.7061885038958948
-0.37612056732177734,-0.5893281263164063,-0.21569663683046514,-2.072116037408346,4.054100036621094,-0.7062361876117151
-0.37612056732177734,-0.5893162053874512,-0.21567279497255498,-2.072092195550436,4.054040431976318,-0.706212345753805
-0.3761453628540039,-0.5893042844584961,-0.21568519273866826,-2.072116037408346,4.054088592529297,-0.706212345753805
-0.37610912322998047,-0.5893400472453614,-0.21563703218568975,-2.072127958337301,4.054028511047363,-0.7062361876117151
-0.37616825103759766,-0.5892923635295411,-0.21563703218568975,-2.072116037408346,4.054088592529297,-0.7061999479876917
-0.3760967254638672,-0.5893042844584961,-0.21567279497255498,-2.072104116479391,4.054112434387207,-0.7061885038958948
-0.3761568069458008,-0.5893281263164063,-0.21568519273866826,-2.072116037408346,4.054100036621094,-0.706212345753805
-0.3761320114135742,-0.5893042844584961,-0.21568519273866826,-2.072092195550436,4.054076194763184,-0.7061999479876917
-0.3761320114135742,-0.5893400472453614,-0.21568519273866826,-2.0721403561034144,4.054076194763184,-0.7062361876117151
-0.37612056732177734,-0.5893162053874512,-0.21568519273866826,-2.072127958337301,4.054100036621094,-0.7061999479876917
-0.3761320114135742,-0.5893281263164063,-0.21569663683046514,-2.072104116479391,4.054076194763184,-0.7061885038958948
